prompt,label,source,note
What is the capital of Portugal?,local,outcome,
Write a Python function that reverses a singly linked list in place.,local,outcome,
"Prove that the halting problem is undecidable, and explain why the diagonal argument is not circular.",haiku,outcome,
Who wrote the first compiler?,haiku,outcome,
"Explain the difference between a process and a thread, with an example of when each is preferable.",haiku,outcome,
Design a distributed rate limiter that stays correct under network partition. Explain what you give up and why that is the right trade.,haiku,outcome,
Define idempotence.,haiku,outcome,
Write a SQL query that returns customers who placed more than three orders last month.,haiku,outcome,
"Critique this architecture: a single Redis instance fronting a sharded Postgres cluster, with the application doing its own two-phase commit across both. What fails first under load, and what would you change?",haiku,outcome,
What does ACID stand for?,local,outcome,
"Implement a function that validates an email address, and say what your validation deliberately does not catch.",haiku,outcome,
"Derive the average-case O(n log n) bound for quicksort from first principles, and identify where the standard textbook argument hand-waves.",haiku,outcome,
Translate 'good morning' into Spanish.,haiku,outcome,
Debug this description: a recursive tree walk returns None for every leaf. What are the two likeliest causes?,haiku,outcome,
"```python
def schedule(tasks, workers):
    pass
```
Implement a fair scheduler for this signature, prove it cannot starve a task, and analyze the complexity.",sonnet,outcome,
What year did the first web page go live?,local,outcome,
"Write a regex matching ISO 8601 dates, and explain each group.",haiku,outcome,
"Explain why no comparison sort can beat O(n log n), then describe precisely what radix sort does differently and why it is not a counterexample.",haiku,outcome,
Name three sorting algorithms.,local,outcome,
Summarize the main causes of the 2008 financial crisis in about a paragraph.,local,outcome,
Design a schema migration strategy for a table with two billion rows and no maintenance window. Justify each step and say what you would monitor.,haiku,outcome,
What is a UUID?,haiku,outcome,
What are the trade-offs between a hash map and a balanced tree for an in-memory index?,local,outcome,
"Two-phase commit blocks when the coordinator fails. Prove it, then explain what three-phase commit changes and why it is still not enough under an asynchronous network.",haiku,outcome,
Is HTTP stateless?,local,outcome,
Write a unit test for a function that merges overlapping intervals. Cover the edge cases you think matter.,haiku,outcome,
"Critique the claim that microservices improve reliability. Steel-man it first, then give the strongest counterargument.",local,outcome,
What port does HTTPS use by default?,local,outcome,
"Explain what a database transaction isolation level is, and describe two of them.",haiku,outcome,
